pt,r_num,SAFE,THREAT
32,1,0.007658096000000034,-0.00765809533333338
32,2,0.033504844000000096,-0.03350484422222221
32,3,0.2357022607777777,-0.23570226
32,4,-0.004588008299999969,0.005735009500000013
32,5,-0.3883833258888889,0.3883833255555556
33,1,0.28901930433333334,-0.2890193041111111
33,2,-0.19105485655555554,0.1910548565555555
33,3,0.48044173199999995,-0.48044173199999995
33,4,-0.12508407050000003,0.15635508850000002
33,5,0.18064904744444443,-0.1806490476666667
37,1,0.3321200127777778,-0.33212001266666674
37,2,0.18146728877777774,-0.1814672886666667
37,3,0.3740417601111111,-0.37404175988888877
37,4,-0.21329964987500005,0.1706397201
37,5,-0.4462126376666666,0.44621263755555557
38,1,0.12963928055555554,-0.1296392807777778
38,2,0.1438142354444444,-0.14381423577777777
38,3,0.3739055976666666,-0.37390559800000006
38,4,0.24753513912499997,-0.19802811150000008
38,5,-0.374898112,0.374898112
41,1,0.2436888862222222,-0.2436888856666667
41,2,-0.168912163,0.16891216288888888
41,3,-0.007360148444444508,0.007360148555555618
41,4,0.21232743487500005,-0.1698619474
41,5,0.08647489355555557,-0.0864748937777778
42,1,0.3213113736666667,-0.321311374
42,2,0.0,0.0
42,3,0.0,0.0
42,4,0.0,0.0
42,5,0.0,0.0
46,1,-0.23570226,0.2357022607777777
46,2,0.0,0.0
46,3,0.2357022607777777,-0.23570226
46,4,-0.23570226000000002,0.18856180869999997
46,5,0.24086600422222226,-0.24086600433333338
47,1,0.1190672106,-0.14883401300000001
47,2,-0.10725712187500006,0.08580569739999992
47,3,0.2357022607777777,-0.23570226
47,4,-0.2826928013333333,0.28269280122222223
47,5,-0.1613406312222222,0.16134063099999998
48,1,0.16956877089999997,-0.21196096375
48,2,-0.6132099650000001,0.49056797179999984
48,3,0.19558268444444446,-0.1955826843333333
48,4,0.3804254556666667,-0.3804254557777778
48,5,-0.17649436977777777,0.1764943692222222
49,1,0.3701937135,-0.296154971
49,2,-0.09078063033333336,0.09078063044444451
49,3,0.03283083600000006,-0.02626466829999996
49,4,-0.3348391395555555,0.33483913966666673
49,5,0.2899820827777778,-0.28998208300000006
50,1,-0.18119754312500003,0.14495803440000005
50,2,-0.1976587103333333,0.19765871
50,3,0.2946278258749999,-0.23570226
50,4,-0.005386445888888887,0.005386445999999958
50,5,0.0,0.0
51,1,-0.412296664125,0.3298373314
51,2,-0.056098519888888955,0.05609851966666662
51,3,-0.030210736900000024,0.03776342099999999
51,4,0.24187672199999996,-0.2418767222222222
51,5,0.2518397991,-0.3147997491250001
52,1,-0.330512164,0.3305121646666667
52,2,-0.23570226,0.2357022607777777
52,3,0.0,0.0
52,4,0.2788720295555556,-0.27887202899999997
52,5,0.04951197599999999,-0.06188997075000002
53,1,0.13315667944444443,-0.1331566788888889
53,2,-0.12327628233333335,0.12327628222222226
53,3,0.3768198388000001,-0.471024798625
53,4,0.0,0.0
53,5,0.002147574200000024,-0.002684466750000003
54,1,-0.008429841777777823,0.008429841555555583
54,2,0.011780102100000045,-0.014725127874999994
54,3,-0.14233770340000002,0.17792212937500002
54,4,0.15346519277777776,-0.1534651928888889
54,5,-0.417606512875,0.33408521029999994
56,1,0.31421690210000003,-0.39277112737500003
56,2,0.21452318789999997,-0.26815398487500003
56,3,0.34539573555555564,-0.3453957353333334
56,4,0.006223252400000001,-0.00777906512499997
56,5,-0.10817145355555559,0.10817145366666664
57,1,0.12219351755555558,-0.12219351800000006
57,2,-0.23570226,0.2357022607777777
57,3,-0.28564158600000006,0.2856415859999999
57,4,0.22143083811111103,-0.2214308375555556
57,5,0.2932483130000001,-0.2932483129999999
58,1,0.06439836833333337,-0.06439836799999993
58,2,-0.07636477366666672,0.07636477288888886
58,3,-0.02524034811111105,0.025240348222222233
58,4,-0.06713766211111111,0.06713766244444441
58,5,0.18117392922222222,-0.1811739301111111
59,1,0.08466345911111113,-0.08466345888888888
59,2,-0.013516909333333259,0.01351690922222225
59,3,0.0,0.0
59,4,0.1494722472222222,-0.14947224744444443
59,5,-0.11114616000000004,0.11114616033333327
60,1,0.1512389191111111,-0.15123891955555557
60,2,0.36227507366666667,-0.3622750737777778
60,3,0.4204239755,-0.33633918100000004
60,4,-0.05828227862499998,0.04662582350000006
60,5,-0.10783197477777778,0.10783197488888897
61,1,0.0,0.0
61,2,0.0,0.0
61,3,0.0,0.0
61,4,0.0,0.0
61,5,0.0,0.0
63,1,0.2357022607777777,-0.23570226
63,2,0.0,0.0
63,3,-0.23570226,0.2357022607777777
63,4,-0.23570226000000002,0.18856180869999992
63,5,0.0,0.0
64,1,0.20312256066666665,-0.2031225604444444
64,2,0.20253750966666667,-0.20253750966666667
64,3,-0.11182750411111107,0.11182750433333329
64,4,-0.2528044596250001,0.20224356749999997
64,5,-0.0732543001111111,0.07325430055555564
65,1,0.0,0.0
65,2,0.0,0.0
65,3,0.0,0.0
65,4,0.18856180869999992,-0.23570226000000002
65,5,0.0,0.0
66,1,0.15490078522222214,-0.15490078500000004
66,2,0.37200366433333326,-0.37200366455555556
66,3,0.02734302111111112,-0.02734302100000003
66,4,-0.17750418224999998,0.1420033454999999
66,5,-0.3848208351111111,0.3848208352222222
67,1,0.25231581033333333,-0.25231581000000003
67,2,0.0242612212222222,-0.024261221222222237
67,3,0.29576691200000005,-0.295766912
67,4,0.2999934176249999,-0.23999473400000002
67,5,-0.056857597555555556,0.05685759788888895
68,1,0.24855636222222222,-0.24855636222222227
68,2,0.05159372855555552,-0.05159372855555555
68,3,0.3541562266666667,-0.3541562268888889
68,4,0.023564170250000016,-0.01885133610000001
68,5,0.27714277777777774,-0.27714277777777774
69,1,0.16553782788888885,-0.165537828
69,2,-0.1045572738888889,0.10455727444444436
69,3,-0.047214089000000015,0.04721408877777779
69,4,0.08994057024999996,-0.0719524561
69,5,0.020645062333333228,-0.020645062111111098
70,1,0.0,0.0
70,2,0.2357022607777777,-0.23570226
70,3,0.2357022607777777,-0.23570226
70,4,0.0,0.0
70,5,0.0,0.0
71,1,-0.2486308254444445,0.24863082488888896
71,2,-0.1520985315555555,0.15209853122222228
71,3,0.1309749854444445,-0.1309749855555556
71,4,-0.27182956974999994,0.21746365569999998
71,5,-0.1083229221111111,0.10832292188888888
72,1,0.3179311458888889,-0.3179311462222222
72,2,-0.06556290211111114,0.06556290200000003
72,3,0.05104980533333334,-0.051049805333333316
72,4,0.09203361350000004,-0.07362689069999999
72,5,-0.2899736843333333,0.2899736845555556
73,1,0.1177622956666667,-0.11776229566666663
73,2,0.21696857555555554,-0.21696857544444448
73,3,0.17803231355555552,-0.17803231388888893
73,4,-0.23570226000000002,0.18856180869999992
73,5,0.2357022607777777,-0.23570226
74,1,-0.06716216166666668,0.06716216211111112
74,2,0.11757273611111112,-0.11757273633333333
74,3,-0.043956555111111156,0.043956555444444385
74,4,-0.1898929925,0.1519143943
74,5,-0.3575736628888889,0.35757366311111105
