,pt,r_num,SAFE,THREAT
2,32,3,0.2357022607777777,-0.23570226
7,33,3,0.480441732,-0.480441732
12,37,3,0.3740417601111111,-0.3740417598888888
17,38,3,0.3739055976666666,-0.3739055980000001
22,41,3,-0.007360148444444508,0.007360148555555618
27,42,3,0.0,0.0
32,46,3,0.2357022607777777,-0.23570226
37,47,3,0.2357022607777777,-0.23570226
42,48,3,0.1955826844444445,-0.1955826843333333
47,49,3,0.032830836000000065,-0.02626466829999996
52,50,3,0.2946278258749999,-0.23570226
57,51,3,-0.030210736900000024,0.037763420999999985
62,52,3,0.0,0.0
67,53,3,0.3768198388000001,-0.47102479862499996
72,54,3,-0.14233770340000002,0.17792212937500002
77,56,3,0.34539573555555564,-0.3453957353333334
82,57,3,-0.2856415860000001,0.2856415859999999
87,58,3,-0.02524034811111105,0.025240348222222236
92,59,3,0.0,0.0
97,60,3,0.4204239755,-0.33633918100000004
102,61,3,0.0,0.0
107,63,3,-0.23570226,0.2357022607777777
112,64,3,-0.11182750411111107,0.11182750433333327
117,65,3,0.0,0.0
122,66,3,0.02734302111111112,-0.02734302100000003
127,67,3,0.29576691200000005,-0.295766912
132,68,3,0.3541562266666667,-0.3541562268888889
137,69,3,-0.04721408900000002,0.04721408877777779
142,70,3,0.2357022607777777,-0.23570226
147,71,3,0.1309749854444445,-0.1309749855555556
152,72,3,0.05104980533333334,-0.051049805333333316
157,73,3,0.17803231355555552,-0.17803231388888893
162,74,3,-0.04395655511111116,0.04395655544444439
