,participant,run_num,context_num,gsr
0,75,5,0,-0.03747050031660061
1,75,5,1,-0.11890508112222196
2,75,5,2,0.06282800427731511
3,75,5,3,0.12626316652500025
4,75,5,4,-0.031749242923148284
5,75,5,5,0.09999518949861153
6,75,5,6,0.2241292973782406
7,75,5,7,-0.03536016264351852
8,75,5,8,0.04973310668101821
9,75,5,9,-0.055709876670370626
10,75,5,10,-0.05255379220416661
11,75,5,11,-0.04898508465879652
12,75,5,12,-0.038139240123611265
13,75,5,13,0.002394403670832749
14,75,5,14,-0.06905541019629624
15,75,5,15,0.08022382291203743
16,75,5,16,-0.04672514858055559
17,75,5,17,-0.026187077825000155
18,75,5,18,-0.015194502668981468
