,Unnamed: 0,cntxt_num,count,mean,pt,r_num,index,context_num,context_type,context_shock,cntxt_trialnum
100,5,5,3,0.0,64,1,31,5.0,THREAT,None,1.0
101,6,6,3,0.0,64,1,37,6.0,THREAT,None,1.0
102,7,7,3,0.0081,64,1,43,7.0,SAFE,None,1.0
103,8,8,3,0.0,64,1,49,8.0,SAFE,None,1.0
104,9,9,3,0.0163,64,1,55,9.0,SAFE,None,1.0
105,10,10,3,0.0982,64,1,61,10.0,SAFE,None,1.0
106,11,11,3,0.0,64,1,67,11.0,SAFE,None,1.0
107,12,12,3,0.0193,64,1,73,12.0,THREAT,None,1.0
108,13,13,3,0.0066,64,1,79,13.0,THREAT,prior,1.0
110,15,15,3,0.028999999999999998,64,1,91,13.0,THREAT,post,1.0
111,16,16,3,0.0,64,1,97,14.0,SAFE,None,1.0
112,17,17,3,0.1394,64,1,103,15.0,THREAT,None,1.0
113,18,18,3,0.3443,64,1,109,16.0,SAFE,None,1.0
114,0,0,3,0.0,64,2,1,0.0,SAFE,None,1.0
115,1,1,3,0.0,64,2,7,1.0,THREAT,None,1.0
116,2,2,3,0.0671,64,2,13,2.0,THREAT,None,1.0
117,3,3,3,0.0,64,2,19,3.0,THREAT,None,1.0
118,4,4,3,0.0,64,2,25,4.0,SAFE,None,1.0
119,5,5,3,0.0,64,2,31,5.0,THREAT,None,1.0
120,6,6,3,0.0061,64,2,37,6.0,SAFE,None,1.0
121,7,7,3,0.0122,64,2,43,7.0,THREAT,prior,1.0
123,9,9,3,0.0,64,2,55,7.0,THREAT,post,1.0
124,10,10,3,0.0137,64,2,61,8.0,SAFE,None,1.0
125,11,11,3,0.0061,64,2,67,9.0,SAFE,None,1.0
126,12,12,3,0.0,64,2,73,10.0,SAFE,None,1.0
127,13,13,3,0.0727,64,2,79,11.0,SAFE,None,1.0
128,14,14,3,0.0,64,2,85,12.0,SAFE,None,1.0
129,15,15,3,0.0051,64,2,91,13.0,THREAT,None,1.0
130,16,16,3,0.0356,64,2,97,14.0,THREAT,None,1.0
131,17,17,3,0.0,64,2,103,15.0,THREAT,None,1.0
132,18,18,3,0.209,64,2,109,16.0,SAFE,None,1.0
133,0,0,3,0.0076,64,3,1,0.0,SAFE,None,1.0
134,1,1,3,0.0061,64,3,7,1.0,SAFE,None,1.0
135,2,2,3,0.0565,64,3,13,2.0,SAFE,None,1.0
136,3,3,3,0.1185,64,3,19,3.0,SAFE,None,1.0
137,4,4,3,0.1668,64,3,25,4.0,SAFE,None,1.0
138,5,5,3,0.0,64,3,31,5.0,THREAT,None,1.0
139,6,6,3,0.0763,64,3,37,6.0,THREAT,None,1.0
140,7,7,3,0.0753,64,3,43,7.0,THREAT,prior,1.0
142,9,9,3,0.0056,64,3,55,7.0,THREAT,post,1.0
143,10,10,3,0.0524,64,3,61,8.0,THREAT,None,1.0
144,11,11,3,0.03,64,3,67,9.0,THREAT,None,1.0
145,12,12,3,0.0702,64,3,73,10.0,SAFE,None,1.0
146,13,13,3,0.147,64,3,79,11.0,THREAT,None,1.0
147,14,14,3,0.0081,64,3,85,12.0,SAFE,None,1.0
148,15,15,3,0.0524,64,3,91,13.0,THREAT,None,1.0
149,16,16,3,0.0,64,3,97,14.0,SAFE,None,1.0
150,17,17,3,0.2569,64,3,103,15.0,THREAT,None,1.0
151,18,18,3,0.1211,64,3,109,16.0,SAFE,None,1.0
152,0,0,3,0.0285,64,4,1,0.0,THREAT,None,1.0
153,1,1,3,0.0092,64,4,7,1.0,THREAT,None,1.0
154,2,2,3,0.0,64,4,13,2.0,SAFE,None,1.0
155,3,3,3,0.0,64,4,19,3.0,SAFE,None,1.0
156,4,4,3,0.1007,64,4,25,4.0,SAFE,None,1.0
157,5,5,3,0.0,64,4,31,5.0,THREAT,None,1.0
158,6,6,3,0.0,64,4,37,6.0,THREAT,None,1.0
159,7,7,3,0.0234,64,4,43,7.0,THREAT,prior,1.0
161,9,9,3,0.0214,64,4,55,7.0,THREAT,post,1.0
162,10,10,3,0.0,64,4,61,8.0,SAFE,None,1.0
163,11,11,3,0.0,64,4,67,9.0,SAFE,None,1.0
164,12,12,3,0.0351,64,4,73,10.0,SAFE,None,1.0
165,13,13,3,0.2029,64,4,79,11.0,THREAT,None,1.0
166,14,14,3,0.0615,64,4,85,12.0,THREAT,None,1.0
167,15,15,3,0.08800000000000001,64,4,91,13.0,SAFE,None,1.0
168,16,16,3,0.0381,64,4,97,14.0,THREAT,None,1.0
169,17,17,3,0.03,64,4,103,15.0,SAFE,None,1.0
170,18,18,3,0.2848,64,4,109,16.0,THREAT,None,1.0
171,0,0,3,0.061,64,5,1,0.0,THREAT,None,1.0
172,1,1,3,0.0066,64,5,7,1.0,THREAT,None,1.0
173,2,2,3,0.115,64,5,13,2.0,SAFE,None,1.0
174,3,3,3,0.0254,64,5,19,3.0,SAFE,None,1.0
175,4,4,3,0.1165,64,5,25,4.0,SAFE,prior,1.0
177,6,6,3,0.0092,64,5,37,4.0,SAFE,post,1.0
178,7,7,3,0.0,64,5,43,5.0,THREAT,None,1.0
179,8,8,3,0.0,64,5,49,6.0,THREAT,None,1.0
180,9,9,3,0.0,64,5,55,7.0,SAFE,None,1.0
181,10,10,3,0.0295,64,5,61,8.0,SAFE,None,1.0
182,11,11,3,0.0,64,5,67,9.0,SAFE,None,1.0
183,12,12,3,0.0183,64,5,73,10.0,THREAT,None,1.0
184,13,13,3,0.0,64,5,79,11.0,THREAT,None,1.0
185,14,14,3,0.0,64,5,85,12.0,SAFE,None,1.0
186,15,15,3,0.0427,64,5,91,13.0,THREAT,None,1.0
187,16,16,3,0.0209,64,5,97,14.0,THREAT,None,1.0
188,17,17,3,0.0371,64,5,103,15.0,SAFE,None,1.0
189,18,18,3,0.2731,64,5,109,16.0,THREAT,None,1.0
190,0,0,3,0.0331,66,1,1,0.0,SAFE,None,1.0
191,1,1,3,0.0834,66,1,7,1.0,THREAT,None,1.0
192,2,2,3,0.0,66,1,13,2.0,SAFE,None,1.0
193,3,3,3,0.0188,66,1,19,3.0,THREAT,None,1.0
194,4,4,3,0.0,66,1,25,4.0,THREAT,None,1.0
195,5,5,3,0.0,66,1,31,5.0,THREAT,None,1.0
