,pt,r_num,SAFE,THREAT
1,32,2,0.033504844000000096,-0.03350484422222221
6,33,2,-0.19105485655555554,0.1910548565555555
11,37,2,0.18146728877777774,-0.1814672886666667
16,38,2,0.1438142354444444,-0.14381423577777774
21,41,2,-0.168912163,0.16891216288888888
26,42,2,0.0,0.0
31,46,2,0.0,0.0
36,47,2,-0.10725712187500007,0.08580569739999992
41,48,2,-0.6132099650000001,0.4905679717999998
46,49,2,-0.09078063033333336,0.09078063044444452
51,50,2,-0.1976587103333333,0.19765871
56,51,2,-0.05609851988888896,0.05609851966666662
61,52,2,-0.23570226,0.2357022607777777
66,53,2,-0.12327628233333335,0.12327628222222226
71,54,2,0.011780102100000044,-0.014725127874999994
76,56,2,0.2145231879,-0.26815398487500003
81,57,2,-0.23570226,0.2357022607777777
86,58,2,-0.07636477366666672,0.07636477288888886
91,59,2,-0.013516909333333259,0.01351690922222225
96,60,2,0.36227507366666667,-0.3622750737777778
101,61,2,0.0,0.0
106,63,2,0.0,0.0
111,64,2,0.20253750966666667,-0.20253750966666667
116,65,2,0.0,0.0
121,66,2,0.3720036643333333,-0.3720036645555556
126,67,2,0.0242612212222222,-0.02426122122222224
131,68,2,0.05159372855555552,-0.05159372855555555
136,69,2,-0.1045572738888889,0.10455727444444436
141,70,2,0.2357022607777777,-0.23570226
146,71,2,-0.1520985315555555,0.15209853122222228
151,72,2,-0.06556290211111114,0.06556290200000002
156,73,2,0.21696857555555554,-0.21696857544444448
161,74,2,0.11757273611111113,-0.11757273633333333
